1,ANSERIFORMES,鸭科,Anatidae (24:60),,,
1,Dendrocygna javanica,栗树鸭,Lesser Whistling Duck,LC,二级,
2,Branta bernicla,黑雁,Brant Goose,LC,-,
3,Branta ruficollis,红胸黑雁,Red-breasted Goose,VU,二级,
4,Branta canadensis,加拿大黑雁,Canada Goose,LC,-,
5,Branta leucopsis,白颊黑雁,Barnacle Goose,LC,-,
6,Branta hutchinsii,小美洲黑雁,Cackling Goose,LC,-,
7,Anser indicus,斑头雁,Bar-headed Goose,LC,-,
8,Anser caerulescens,雪雁,Snow Goose,LC,-,
9,Anser anser,灰雁,Greylag Goose,LC,-,
10,Anser cygnoides,鸿雁,Swan Goose,VU,二级,
11,Anser fabalis,豆雁,Taiga Bean Goose,LC,-,
12,Anser serrirostris,短嘴豆雁,Tundra Bean Goose,NR,-,
13,Anser albifrons,白额雁,Greater White-fronted Goose,LC,二级,
14,Anser erythropus,小白额雁,Lesser White-fronted Goose,VU,二级,
15,Cygnus olor,疣鼻天鹅,Mute Swan,LC,二级,
16,Cygnus columbianus,小天鹅,Tundra Swan,LC,二级,
17,Cygnus cygnus,大天鹅,Whooper Swan,LC,二级,
18,Sarkidiornis melanotos,瘤鸭,Knob-billed Duck,LC,-,
19,Tadorna tadorna,翘鼻麻鸭,Common Shelduck,LC,-,
20,Tadorna ferruginea,赤麻鸭,Ruddy Shelduck,LC,-,
21,Tadorna cristata,冠麻鸭,Crested Shelduck,CR,-,
22,Asarcornis scutulata,白翅栖鸭,White-winged Duck,EN,二级,
23,Aix galericulata,鸳鸯,Mandarin Duck,LC,二级,
24,Nettapus coromandelianus,棉凫,Cotton Pygmy Goose,LC,二级,
25,Sibirionetta formosa,花脸鸭,Baikal Teal,LC,二级,
26,Spatula querquedula,白眉鸭,Garganey,LC,-,
27,Spatula clypeata,琵嘴鸭,Northern Shoveler,LC,-,
28,Mareca strepera,赤膀鸭,Gadwall,LC,-,
29,Mareca falcata,罗纹鸭,Falcated Duck,NT,-,
30,Mareca penelope,赤颈鸭,Eurasian Wigeon,LC,-,
31,Mareca americana,绿眉鸭,American Wigeon,LC,-,
32,Anas luzonica,棕颈鸭,Philippine Duck,VU,-,
33,Anas poecilorhyncha,印缅斑嘴鸭,Indian Spot-billed Duck,LC,-,
34,Anas zonorhyncha,斑嘴鸭,Chinese Spot-billed Duck,LC,-,
35,Anas platyrhynchos,绿头鸭,Mallard,LC,-,
36,Anas acuta,针尾鸭,Northern Pintail,LC,-,
37,Anas crecca,绿翅鸭,Eurasian Teal,LC,-,
38,Anas carolinensis,美洲绿翅鸭,Green-winged Teal,LC,-,
39,Marmaronetta angustirostris,云石斑鸭,Marbled Teal,VU,二级,
40,Netta rufina,赤嘴潜鸭,Red-crested Pochard,LC,-,
41,Aythya valisineria,帆背潜鸭,Canvasback,LC,-,
42,Aythya ferina,红头潜鸭,Common Pochard,VU,-,
43,Aythya baeri,青头潜鸭,Baer's Pochard,CR,一级,
44,Aythya nyroca,白眼潜鸭,Ferruginous Pochard,NT,-,
45,Aythya collaris,环颈潜鸭,Ring-necked Duck,LC,-,
46,Aythya fuligula,凤头潜鸭,Tufted Duck,LC,-,
47,Aythya marila,斑背潜鸭,Greater Scaup,LC,-,
48,Aythya affinis,小潜鸭,Lesser Scaup,LC,-,
49,Polysticta stelleri,小绒鸭,Steller's Eider,VU,-,
50,Histrionicus histrionicus,丑鸭,Harlequin Duck,LC,-,
